attribute_id,category_id,active
2,4000090,1
2,4000091,1
2,4000092,1
2,4000093,1
2,4000094,1
2,4000095,1
2,4000096,1
2,4000097,1
2,4000098,1
2,4000099,1
2,4000100,1
2,4000101,1
2,4000102,1
2,4000103,1
2,4000104,1
2,4000105,1
2,4000106,1
2,4000107,1
2,4000108,1
2,4000109,1
2,4000110,1
2,4000111,1
2,4000112,1
2,4000113,1
2,4000114,1
2,4000115,1
2,4000116,1
2,4000117,1
2,4000118,1
2,4000119,1
2,4000120,1
2,4000121,1
2,4000122,1
2,4000123,1
2,4000124,1
2,4000125,1
2,4000126,1
2,4000127,1
2,4000128,1
2,4000129,1
2,4000130,1
2,4000131,1
2,4000132,1
2,4000133,1
2,4000134,1
2,4000135,1
2,4000136,1
2,4000137,1
2,4000138,1
2,4000139,1
2,4000140,1
2,4000141,1
2,4000142,1
2,4000143,1
2,4000144,1
2,4000145,1
2,4000146,1
2,4000147,1
2,4000148,1
2,4000149,1
2,4000150,1
2,4000151,1
2,4000152,1
2,4000153,1
2,4000154,1
2,4000155,1
2,4000156,1
2,4000157,1
2,4000158,1
2,4000159,1
2,4000160,1
2,4000161,1
2,4000162,1
2,4000163,1
2,4000164,1
2,4000165,1
2,4000166,1
2,4000167,1
2,4000168,1
2,4000169,1
2,4000170,1
2,4000171,1
2,4000172,1
2,4000173,1
2,4000174,1
2,4000175,1
2,4000176,1
2,4000177,1
2,4000178,1
2,4000179,1
2,4000180,1
2,4000181,1
2,4000182,1
2,4000183,1
2,4000184,1
2,4000185,1
2,4000186,1
2,4000187,1
2,4000188,1
2,4000189,1
2,4000190,1
2,4000191,1
2,4000192,1
2,4000193,1
2,4000194,1
2,4000195,1
2,4000196,1
2,4000197,1
2,4000198,1
2,4000199,1
2,4000200,1
2,4000201,1
2,4000202,1
2,4000203,1
2,4000204,1
2,4000205,1
2,4000206,1
2,4000207,1
2,4000208,1
2,4000209,1
2,4000210,1
2,4000211,1
2,4000212,1
2,4000213,1
2,4000214,1
2,4000215,1
2,4000216,1
2,4000217,1
2,4000218,1
2,4000219,1
2,4000220,1
2,4000221,1
2,4000222,1
2,4000223,1
2,4000224,1
2,4000225,1
2,4000226,1
2,4000227,1
2,4000228,1
2,4000229,1
2,4000230,1
2,4000231,1
2,4000232,1
2,4000233,1
2,4000234,1
2,4000235,1
2,4000236,1
2,4000237,1
2,4000238,1
2,4000239,1
2,4000240,1
2,4000241,1
2,4000242,1
2,4000243,1
2,4000244,1
2,4000245,1
2,4000246,1
2,4000247,1
2,4000248,1
2,4000249,1
2,4000250,1
2,4000251,1
2,4000252,1
2,4000253,1
2,4000254,1
2,4000255,1
2,4000256,1
2,4000257,1
2,4000258,1
2,4000259,1
2,4000260,1
2,4000261,1
2,4000262,1
2,4000263,1
2,4000264,1
2,4000265,1
2,4000266,1
2,4000267,1
2,4000268,1
2,4000269,1
2,4000270,1
2,4000271,1
2,4000272,1
2,4000273,1
2,4000274,1
2,4000275,1
2,4000276,1
2,4000277,1
2,4000278,1
2,4000279,1
2,4000280,1
2,4000281,1
2,4000282,1
2,4000283,1
2,4000284,1
2,4000285,1
2,4000286,1
2,4000287,1
2,4000288,1
2,4000289,1
2,4000290,1
2,4000291,1
2,4000292,1
2,4000293,1
2,4000294,1
2,4000295,1
2,4000296,1
2,4000297,1
2,4000298,1
2,4000299,1
2,4000300,1
2,4000301,1
2,4000302,1
2,4000303,1
2,4000304,1
2,4000305,1
2,4000306,1
2,4000307,1
2,4000308,1
2,4000309,1
2,4000310,1
2,4000311,1
2,4000312,1
2,4000313,1
2,4000314,1
2,4000315,1
2,4000316,1
2,4000317,1
2,4000318,1
2,4000319,1
2,4000320,1
2,4000321,1
2,4000322,1
2,4000323,1
2,4000324,1
2,4000325,1
2,4000326,1
2,4000327,1
2,4000328,1
2,4000329,1
2,4000330,1
2,4000331,1
2,4000332,1
2,4000333,1
2,4000334,1
2,4000335,1
2,4000336,1
2,4000337,1
2,4000338,1
2,4000339,1
2,4000340,1
2,4000341,1
2,4000342,1
2,4000343,1
2,4000344,1
2,4000345,1
2,4000346,1
2,4000347,1
2,4000348,1
2,4000349,1
2,4000350,1
2,4000351,1
2,4000352,1
2,4000353,1
2,4000354,1
2,4000355,1
2,4000356,1
2,4000357,1
2,4000358,1
2,4000359,1
2,4000360,1
2,4000361,1
2,4000362,1
2,4000363,1
2,4000364,1
2,4000365,1
2,4000366,1
2,4000367,1
2,4000368,1
2,4000369,1
2,4000370,1
2,4000371,1
2,4000372,1
2,4000373,1
2,4000374,1
2,4000375,1
2,4000376,1
2,4000377,1
2,4000378,1
2,4000379,1
2,4000380,1
2,4000381,1
2,4000382,1
2,4000383,1
2,4000384,1
2,4000385,1
2,4000386,1
2,4000387,1
2,4000388,1
2,4000389,1
2,4000390,1
2,4000391,1
2,4000392,1
2,4000393,1
2,4000394,1
2,4000395,1
2,4000396,1
2,4000397,1
2,4000398,1
2,4000399,1
2,4000400,1
2,4000401,1
2,4000402,1
2,4000403,1
2,4000404,1
2,4000405,1
2,4000406,1
2,4000407,1
2,4000408,1
2,4000409,1
2,4000410,1
2,4000411,1
2,4000412,1
2,4000413,1
2,4000414,1
2,4000415,1
2,4000416,1
2,4000417,1
2,4000418,1
2,4000419,1
2,4000420,1
2,4000421,1
2,4000422,1
2,4000423,1
2,4000424,1
2,4000425,1
2,4000426,1
2,4000427,1
2,4000428,1
2,4000429,1
2,4000430,1
2,4000431,1
2,4000432,1
2,4000433,1
2,4000434,1
2,4000435,1
2,4000436,1
2,4000437,1
2,4000438,1
2,4000439,1
2,4000440,1
2,4000441,1
2,4000442,1
2,4000443,1
2,4000444,1
2,4000445,1
2,4000446,1
2,4000447,1
2,4000448,1
2,4000449,1
2,4000450,1
2,4000451,1
2,4000452,1
2,4000453,1
2,4000454,1
2,4000455,1
2,4000456,1
2,4000457,1
2,4000458,1
2,4000459,1
2,4000460,1
2,4000461,1
2,4000462,1
2,4000463,1
2,4000464,1
2,4000465,1
2,4000466,1
2,4000467,1
2,4000468,1
2,4000469,1
2,4000470,1
