id,Name,Parent_id,active,Level,JetTaxCode
13000188,Outdoor Clocks & Sundials,13000165,1,2,Generic Taxable Product
13000189,Outdoor Curtains,13000165,1,2,Generic Taxable Product
13000190,Outdoor Fireplace Accessories,13000508,1,2,Generic Taxable Product
13000191,Outdoor Fireplaces,13000508,1,2,Generic Taxable Product
13000192,Outdoor Heater Accessories,13000508,1,2,Generic Taxable Product
13000193,Outdoor Heaters,13000508,1,2,Generic Taxable Product
13000194,Outdoor Thermometers,13000165,1,2,Generic Taxable Product
13000199,Rain Chains,13000165,1,2,Generic Taxable Product
13000200,Rain Gauges,13000165,1,2,Generic Taxable Product
13000205,Water Gardens & Ponds,13000165,1,2,Generic Taxable Product
13000206,Weathervanes,13000165,1,2,Generic Taxable Product
13000207,Wind Gauges,13000165,1,2,Generic Taxable Product
13000209,Yard Signs,13000165,1,2,Generic Taxable Product
13000210,"Pools, Hot Tubs & Supplies",13000000,1,1,Generic Taxable Product
13000211,Chemicals & Water Testing Products,13000210,1,2,Generic Taxable Product
13000212,Cleaning Tools & Attachments,13000210,1,2,Generic Taxable Product
13000213,Covers,13000210,1,2,Generic Taxable Product
13000214,Filter Cartridges & Media,13000210,1,2,Generic Taxable Product
13000215,Filters,13000210,1,2,Generic Taxable Product
13000216,Heaters & Accessories,13000210,1,2,Generic Taxable Product
13000217,Hot Tubs,13000210,1,2,Generic Taxable Product
13000218,Lighting Products,13000210,1,2,Generic Taxable Product
13000219,Liners,13000210,1,2,Generic Taxable Product
13000220,Parts & Accessories,13000210,1,2,Generic Taxable Product
13000221,Pool & Deck Repair Products,13000210,1,2,Generic Taxable Product
13000223,Pool Heater Parts & Accessories,13000210,1,2,Generic Taxable Product
13000224,Pool Heaters,13000210,1,2,Generic Taxable Product
13000225,Pumps,13000210,1,2,Generic Taxable Product
13000226,Safety Products,13000210,1,2,Generic Taxable Product
13000227,Saunas,13000210,1,2,Generic Taxable Product
13000228,"Slides, Ladders & Diving Boards",13000210,1,2,Generic Taxable Product
13000229,Storage Products,13000210,1,2,Generic Taxable Product
13000230,Swimming Pools,13000210,1,2,Generic Taxable Product
13000242,Seasonal Décor,13000000,1,1,Generic Taxable Product
13000243,Advent Calendars,13000242,1,2,Generic Taxable Product
13000244,Artificial Snow,13000242,1,2,Generic Taxable Product
13000245,Candleholders,13000242,1,2,Generic Taxable Product
13000246,Candles,13000242,1,2,Generic Taxable Product
13000247,Christmas Tree Stands,13000242,1,2,Generic Taxable Product
13000248,Collectible Buildings & Accessories,13000242,1,2,Generic Taxable Product
13000249,Collectible Figurines,13000242,1,2,Generic Taxable Product
13000250,Greeting Card Holders,13000242,1,2,Generic Taxable Product
13000251,Nativity,13000242,1,2,Generic Taxable Product
13000252,Nutcrackers,13000242,1,2,Generic Taxable Product
13000253,Ornaments,13000242,1,2,Generic Taxable Product
13000254,Outdoor Holiday Décor,13000242,1,2,Generic Taxable Product
13000255,Seasonal Lighting,13000242,1,2,Generic Taxable Product
13000256,Snow Globes,13000242,1,2,Generic Taxable Product
13000257,Stockings & Holders,13000242,1,2,Generic Taxable Product
13000258,Tree Skirts,13000242,1,2,Generic Taxable Product
13000259,Tree Toppers,13000242,1,2,Generic Taxable Product
13000260,Trees,13000242,1,2,Generic Taxable Product
13000261,Wreaths & Garlands,13000242,1,2,Generic Taxable Product
13000262,Home Storage & Organization,13000000,1,1,Generic Taxable Product
13000263,Baskets & Bins,13000262,1,2,Generic Taxable Product
13000267,Holiday Décor Storage,13000262,1,2,Generic Taxable Product
13000269,Jewelry Boxes & Organizers,13000262,1,2,Generic Taxable Product
13000270,Kitchen Storage & Organization,13000503,1,2,Generic Taxable Product
13000273,Outdoor Storage,13000262,1,2,Generic Taxable Product
13000275,Storage Cabinets,13000262,1,2,Generic Taxable Product
13000276,Storage Lockers,13000262,1,2,Generic Taxable Product
13000278,Trash & Recycling,13000262,1,2,Generic Taxable Product
13000384,Bedding,13000000,1,1,Generic Taxable Product
13000385,Baby Bedding,13000384,1,2,Generic Taxable Product
13000386,Toddler Bedding,13000384,1,2,Generic Taxable Product
13000387,Nursery Décor,13000084,1,2,Generic Taxable Product
13000389,Backyard Birding & Wildlife,13000000,1,1,Generic Taxable Product
